block_id,section_id,start_time,end_time,duration_hours,task_count,task_ids,departments,resource_requirements
BLK00001,SEC001,2025-01-05 00:31,2025-01-05 16:45,16.23,2,SIG0279;TRC0238,Signalling;Traction,signal
BLK00002,SEC001,2025-01-07 06:00,2025-01-07 15:00,9.0,1,SIG0634,Signalling,none
BLK00003,SEC001,2025-02-10 06:00,2025-02-10 20:59,14.98,2,ENG0544;SIG0584,Engineering;Signalling,track
BLK00004,SEC001,2025-04-03 06:00,2025-04-03 21:59,15.98,2,ENG1440;SIG2533,Engineering;Signalling,track
BLK00005,SEC001,2025-05-01 06:00,2025-05-01 12:30,6.5,1,SIG2141,Signalling,none
BLK00006,SEC001,2025-05-19 06:00,2025-05-19 18:00,12.0,1,ENG2924,Engineering,track
BLK00007,SEC001,2025-05-25 06:00,2025-05-26 03:59,21.98,3,SIG1279;TRC2813;TRC2950,Signalling;Traction,power;signal
BLK00008,SEC001,2025-06-09 06:00,2025-06-09 14:45,8.75,1,SIG0989,Signalling,none
BLK00009,SEC001,2025-06-12 06:00,2025-06-12 15:30,9.5,1,TRC2478,Traction,none
BLK00010,SEC001,2025-06-20 06:00,2025-06-20 10:45,4.75,1,SIG2767,Signalling,none
BLK00011,SEC001,2025-07-18 06:00,2025-07-18 16:45,10.75,1,ENG0522,Engineering,track
BLK00012,SEC001,2025-07-21 06:00,2025-07-21 08:30,2.5,1,ENG3536,Engineering,track
BLK00013,SEC001,2025-08-04 06:00,2025-08-04 08:15,2.25,1,SIG0260,Signalling,none
BLK00014,SEC001,2025-08-09 06:00,2025-08-09 17:15,11.25,1,SIG0268,Signalling,signal
BLK00015,SEC001,2025-08-23 14:29,2025-08-23 16:29,2.0,1,SIG2253,Signalling,none
BLK00016,SEC001,2025-09-02 06:00,2025-09-02 16:15,10.25,1,SIG2712,Signalling,none
BLK00017,SEC001,2025-09-05 06:00,2025-09-05 17:14,11.23,2,ENG0393;SIG1281,Engineering;Signalling,track
BLK00018,SEC001,2025-09-09 06:00,2025-09-09 08:30,2.5,1,SIG0710,Signalling,signal
BLK00019,SEC001,2025-09-12 06:00,2025-09-12 16:45,10.75,2,TRC1830;ENG1887,Engineering;Traction,track
BLK00020,SEC001,2025-09-19 06:00,2025-09-19 15:30,9.5,1,ENG0394,Engineering,track
BLK00021,SEC001,2025-09-20 06:00,2025-09-20 14:30,8.5,1,ENG3192,Engineering,track
BLK00022,SEC001,2025-10-05 06:00,2025-10-05 18:00,12.0,1,TRC0491,Traction,none
BLK00023,SEC001,2025-11-12 06:00,2025-11-12 09:45,3.75,1,ENG0603,Engineering,track
BLK00024,SEC001,2025-11-18 00:16,2025-11-18 12:45,12.48,2,TRC0444;TRC2671,Traction,none
BLK00025,SEC001,2025-11-22 06:00,2025-11-22 08:45,2.75,1,SIG2999,Signalling,signal
BLK00026,SEC001,2025-12-10 06:00,2025-12-10 13:30,7.5,1,SIG2255,Signalling,none
BLK00027,SEC002,2025-01-07 06:00,2025-01-07 07:15,1.25,1,TRC1240,Traction,none
BLK00028,SEC002,2025-01-11 06:00,2025-01-11 07:30,1.5,1,SIG2326,Signalling,none
BLK00029,SEC002,2025-02-04 22:47,2025-02-05 08:45,9.97,3,TRC0598;TRC2828;SIG2553,Signalling;Traction,power;signal
BLK00030,SEC002,2025-02-20 06:00,2025-02-20 12:00,6.0,1,ENG0917,Engineering,track
BLK00031,SEC002,2025-02-21 06:00,2025-02-21 17:00,11.0,1,SIG2644,Signalling,none
BLK00032,SEC002,2025-02-25 06:00,2025-02-25 10:30,4.5,1,SIG1844,Signalling,signal
BLK00033,SEC002,2025-02-27 06:00,2025-02-27 10:30,4.5,1,ENG0850,Engineering,track
BLK00034,SEC002,2025-03-31 06:00,2025-03-31 12:15,6.25,1,ENG0841,Engineering,track
BLK00035,SEC002,2025-04-08 06:00,2025-04-08 16:00,10.0,1,SIG1981,Signalling,signal
BLK00036,SEC002,2025-05-04 06:00,2025-05-04 14:15,8.25,1,SIG1661,Signalling,signal
BLK00037,SEC002,2025-05-26 06:00,2025-05-26 14:30,8.5,1,ENG0234,Engineering,track
BLK00038,SEC002,2025-05-29 06:00,2025-05-29 11:15,5.25,1,SIG0067,Signalling,none
BLK00039,SEC002,2025-06-05 06:00,2025-06-05 10:30,4.5,1,TRC0276,Traction,power
BLK00040,SEC002,2025-06-17 06:00,2025-06-17 17:30,11.5,1,SIG1843,Signalling,signal
BLK00041,SEC002,2025-06-26 06:00,2025-06-26 17:00,11.0,1,ENG0074,Engineering,track
BLK00042,SEC002,2025-06-30 06:00,2025-06-30 15:45,9.75,1,SIG2969,Signalling,none
BLK00043,SEC002,2025-07-09 06:00,2025-07-09 17:30,11.5,1,SIG0772,Signalling,signal
BLK00044,SEC002,2025-07-11 06:00,2025-07-11 15:30,9.5,1,ENG0034,Engineering,track
BLK00045,SEC002,2025-07-21 06:00,2025-07-21 13:30,7.5,1,TRC0127,Traction,none
BLK00046,SEC002,2025-07-27 06:00,2025-07-27 07:30,1.5,1,ENG3704,Engineering,track
BLK00047,SEC002,2025-08-04 06:00,2025-08-04 15:30,9.5,1,TRC1244,Traction,power
