block_id,task_id,section_id,department,start_time,end_time,duration_hours,predicted_priority_score,predicted_priority_class,train_conflict_cost,power_block_required,signal_block_required,track_block_required,status
BLK00503,ENG0001,SEC009,Engineering,2025-06-07 06:00,2025-06-07 13:30,7.5,63.2,HIGH,313.5,False,False,True,SCHEDULED
BLK03294,ENG0002,SEC061,Engineering,2025-07-21 06:00,2025-07-21 15:15,9.2,94.9,CRITICAL,189.5,False,False,True,SCHEDULED
BLK01554,ENG0004,SEC027,Engineering,2025-11-23 06:00,2025-11-23 08:30,2.5,39.92,LOW,89.2,False,False,True,SCHEDULED
BLK00143,ENG0007,SEC003,Engineering,2025-06-17 06:00,2025-06-17 11:30,5.4,99.0,CRITICAL,265.7,False,False,True,SCHEDULED
BLK02456,ENG0008,SEC044,Engineering,2025-11-03 06:00,2025-11-03 07:30,1.4,41.1,MEDIUM,48.6,False,False,True,SCHEDULED
BLK00106,ENG0009,SEC002,Engineering,2025-10-10 06:00,2025-10-10 11:00,4.8,26.23,LOW,163.7,False,False,True,SCHEDULED
BLK01326,ENG0010,SEC023,Engineering,2025-10-09 06:00,2025-10-09 16:30,10.5,98.0,CRITICAL,475.6,False,False,True,SCHEDULED
BLK00639,ENG0011,SEC011,Engineering,2025-09-12 06:00,2025-09-12 12:00,6.0,39.99,LOW,290.4,False,False,True,SCHEDULED
BLK03118,ENG0019,SEC058,Engineering,2025-02-18 06:00,2025-02-18 07:15,1.2,62.2,HIGH,32.8,False,False,True,SCHEDULED
BLK03906,ENG0020,SEC074,Engineering,2025-02-28 06:00,2025-02-28 17:00,11.0,28.04,LOW,264.0,False,False,True,SCHEDULED
BLK03940,ENG0021,SEC074,Engineering,2025-10-05 06:00,2025-10-05 17:45,11.7,61.86,HIGH,280.8,False,False,True,SCHEDULED
BLK00862,ENG0023,SEC015,Engineering,2025-06-11 06:00,2025-06-11 13:15,7.2,63.7,HIGH,324.0,False,False,True,SCHEDULED
BLK02486,ENG0025,SEC045,Engineering,2025-08-26 06:00,2025-08-26 09:00,3.0,62.3,HIGH,84.0,False,False,True,SCHEDULED
BLK03495,ENG0026,SEC065,Engineering,2025-09-16 06:00,2025-09-16 13:30,7.4,61.0,HIGH,212.4,False,False,True,SCHEDULED
BLK00372,ENG0027,SEC007,Engineering,2025-03-15 06:00,2025-03-15 14:00,7.8,65.6,HIGH,369.7,False,False,True,SCHEDULED
BLK00383,ENG0028,SEC007,Engineering,2025-07-11 06:00,2025-07-11 17:15,11.2,64.3,HIGH,530.9,False,False,True,SCHEDULED
BLK02929,ENG0029,SEC054,Engineering,2025-09-06 06:00,2025-09-06 09:30,3.5,37.7,LOW,79.4,False,False,True,SCHEDULED
BLK03506,ENG0032,SEC066,Engineering,2025-01-18 06:00,2025-01-18 13:00,6.8,81.23,CRITICAL,183.6,False,False,True,SCHEDULED
BLK00091,ENG0034,SEC002,Engineering,2025-07-11 06:00,2025-07-11 15:30,9.3,25.32,LOW,317.1,False,False,True,SCHEDULED
