task_id,section_id,department,predicted_priority_score,predicted_priority_class,duration_hours,reason
ENG1158,SEC017,Engineering,64.9,HIGH,1.1,Excluded by solver due to resource or train-occupancy conflicts
ENG1477,SEC034,Engineering,64.0,HIGH,11.7,Excluded by solver due to resource or train-occupancy conflicts
ENG1518,SEC007,Engineering,63.8,HIGH,4.4,Excluded by solver due to resource or train-occupancy conflicts
ENG1571,SEC062,Engineering,27.18,LOW,10.9,Excluded by solver due to resource or train-occupancy conflicts
ENG1771,SEC038,Engineering,44.93,MEDIUM,11.6,Excluded by solver due to resource or train-occupancy conflicts
ENG1832,SEC020,Engineering,63.1,HIGH,7.2,Excluded by solver due to resource or train-occupancy conflicts
ENG1916,SEC032,Engineering,82.73,CRITICAL,10.5,Excluded by solver due to resource or train-occupancy conflicts
ENG2337,SEC075,Engineering,59.9,MEDIUM,11.3,Excluded by solver due to resource or train-occupancy conflicts
ENG2870,SEC006,Engineering,65.8,HIGH,5.2,Excluded by solver due to resource or train-occupancy conflicts
ENG2909,SEC072,Engineering,33.55,LOW,2.6,Excluded by solver due to resource or train-occupancy conflicts
ENG2942,SEC052,Engineering,93.9,CRITICAL,7.0,Excluded by solver due to resource or train-occupancy conflicts
ENG2998,SEC020,Engineering,43.98,MEDIUM,8.3,Excluded by solver due to resource or train-occupancy conflicts
ENG3338,SEC003,Engineering,66.01,HIGH,8.4,Excluded by solver due to resource or train-occupancy conflicts
ENG3440,SEC040,Engineering,38.4,LOW,2.6,Excluded by solver due to resource or train-occupancy conflicts
ENG3983,SEC010,Engineering,25.6,LOW,4.3,Excluded by solver due to resource or train-occupancy conflicts
TRC0008,SEC065,Traction,40.58,MEDIUM,9.1,Excluded by solver due to resource or train-occupancy conflicts
TRC0017,SEC039,Traction,96.38,CRITICAL,2.5,Excluded by solver due to resource or train-occupancy conflicts
TRC0168,SEC024,Traction,40.1,MEDIUM,7.7,Excluded by solver due to resource or train-occupancy conflicts
TRC0258,SEC057,Traction,62.09,HIGH,1.4,Excluded by solver due to resource or train-occupancy conflicts
TRC0273,SEC038,Traction,83.9,CRITICAL,5.4,Excluded by solver due to resource or train-occupancy conflicts
TRC0283,SEC018,Traction,42.8,MEDIUM,6.6,Excluded by solver due to resource or train-occupancy conflicts
TRC0353,SEC009,Traction,64.83,HIGH,3.8,Excluded by solver due to resource or train-occupancy conflicts
TRC0388,SEC034,Traction,62.35,HIGH,8.0,Excluded by solver due to resource or train-occupancy conflicts
TRC0549,SEC053,Traction,80.4,CRITICAL,1.2,Excluded by solver due to resource or train-occupancy conflicts
TRC0720,SEC048,Traction,36.3,LOW,5.3,Excluded by solver due to resource or train-occupancy conflicts
TRC0757,SEC004,Traction,62.4,HIGH,10.9,Excluded by solver due to resource or train-occupancy conflicts
TRC0843,SEC037,Traction,64.04,HIGH,6.7,Excluded by solver due to resource or train-occupancy conflicts
TRC1015,SEC026,Traction,98.63,CRITICAL,5.6,Excluded by solver due to resource or train-occupancy conflicts
TRC1407,SEC068,Traction,62.38,HIGH,9.8,Excluded by solver due to resource or train-occupancy conflicts
TRC1623,SEC002,Traction,82.2,CRITICAL,10.7,Excluded by solver due to resource or train-occupancy conflicts
TRC1775,SEC050,Traction,81.2,CRITICAL,3.6,Excluded by solver due to resource or train-occupancy conflicts
TRC2556,SEC006,Traction,43.6,MEDIUM,11.8,Excluded by solver due to resource or train-occupancy conflicts
TRC2625,SEC033,Traction,26.7,LOW,9.3,Excluded by solver due to resource or train-occupancy conflicts
TRC2733,SEC034,Traction,61.4,HIGH,6.8,Excluded by solver due to resource or train-occupancy conflicts
TRC2806,SEC072,Traction,81.6,CRITICAL,10.2,Excluded by solver due to resource or train-occupancy conflicts
SIG0174,SEC039,Signalling,64.34,HIGH,3.3,Excluded by solver due to resource or train-occupancy conflicts
SIG0262,SEC020,Signalling,82.37,CRITICAL,5.1,Excluded by solver due to resource or train-occupancy conflicts
SIG0267,SEC009,Signalling,97.2,CRITICAL,9.1,Excluded by solver due to resource or train-occupancy conflicts
SIG0326,SEC023,Signalling,42.07,MEDIUM,6.9,Excluded by solver due to resource or train-occupancy conflicts
SIG0421,SEC034,Signalling,61.36,HIGH,11.6,Excluded by solver due to resource or train-occupancy conflicts
SIG0609,SEC050,Signalling,59.94,MEDIUM,8.9,Excluded by solver due to resource or train-occupancy conflicts
SIG0739,SEC027,Signalling,62.3,HIGH,5.4,Excluded by solver due to resource or train-occupancy conflicts
SIG0807,SEC006,Signalling,65.8,HIGH,1.4,Excluded by solver due to resource or train-occupancy conflicts
SIG0850,SEC032,Signalling,38.2,LOW,3.9,Excluded by solver due to resource or train-occupancy conflicts
SIG0868,SEC037,Signalling,64.2,HIGH,11.9,Excluded by solver due to resource or train-occupancy conflicts
SIG1138,SEC051,Signalling,39.82,LOW,2.3,Excluded by solver due to resource or train-occupancy conflicts
SIG1314,SEC040,Signalling,80.92,CRITICAL,1.8,Excluded by solver due to resource or train-occupancy conflicts
SIG1332,SEC053,Signalling,40.8,MEDIUM,1.2,Excluded by solver due to resource or train-occupancy conflicts
SIG1458,SEC055,Signalling,37.9,LOW,1.8,Excluded by solver due to resource or train-occupancy conflicts
SIG1479,SEC019,Signalling,84.79,CRITICAL,8.3,Excluded by solver due to resource or train-occupancy conflicts
SIG1509,SEC058,Signalling,36.4,LOW,7.2,Excluded by solver due to resource or train-occupancy conflicts
SIG1755,SEC039,Signalling,30.9,LOW,7.2,Excluded by solver due to resource or train-occupancy conflicts
SIG1792,SEC065,Signalling,38.08,LOW,9.3,Excluded by solver due to resource or train-occupancy conflicts
SIG1930,SEC014,Signalling,66.0,HIGH,11.2,Excluded by solver due to resource or train-occupancy conflicts
SIG2067,SEC058,Signalling,80.97,CRITICAL,8.5,Excluded by solver due to resource or train-occupancy conflicts
SIG2096,SEC024,Signalling,62.5,HIGH,10.8,Excluded by solver due to resource or train-occupancy conflicts
SIG2110,SEC004,Signalling,35.77,LOW,5.1,Excluded by solver due to resource or train-occupancy conflicts
SIG2132,SEC020,Signalling,25.9,LOW,1.2,Excluded by solver due to resource or train-occupancy conflicts
SIG2316,SEC043,Signalling,63.8,HIGH,3.8,Excluded by solver due to resource or train-occupancy conflicts
SIG2406,SEC074,Signalling,60.37,HIGH,7.0,Excluded by solver due to resource or train-occupancy conflicts
SIG2558,SEC018,Signalling,45.34,MEDIUM,1.8,Excluded by solver due to resource or train-occupancy conflicts
SIG2662,SEC022,Signalling,39.3,LOW,2.2,Excluded by solver due to resource or train-occupancy conflicts
SIG2787,SEC010,Signalling,65.57,HIGH,7.0,Excluded by solver due to resource or train-occupancy conflicts
SIG2795,SEC013,Signalling,34.8,LOW,1.6,Excluded by solver due to resource or train-occupancy conflicts
SIG2847,SEC074,Signalling,61.2,HIGH,9.4,Excluded by solver due to resource or train-occupancy conflicts
SIG2978,SEC069,Signalling,36.53,LOW,9.5,Excluded by solver due to resource or train-occupancy conflicts
SIG2994,SEC006,Signalling,44.19,MEDIUM,2.4,Excluded by solver due to resource or train-occupancy conflicts
