task_id,asset_id,section_id,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,days_until_due,urgency_category
ENG0001,AST0009,SEC009,Welding,Weld depression,3,MEDIUM,2025-06-05,2025-06-07,2025-07-01,7.5,13,MEDIUM,Pending,24,Normal
ENG0002,AST0136,SEC061,Ballast Maintenance,Vegetation growth,1,CRITICAL,2025-07-21,2025-07-21,2025-07-24,9.2,4,HIGH,Pending,3,Urgent
ENG0003,AST0284,SEC059,Turnout Maintenance,Point mechanism fault,4,LOW,2025-05-14,2025-05-17,2025-06-12,10.6,4,LOW,In Progress,26,Normal
ENG0004,AST0252,SEC027,Rail Inspection,Gauge deviation,4,LOW,2025-11-21,2025-11-23,2026-01-10,2.5,13,LOW,Scheduled,48,Low
ENG0005,AST0230,SEC005,Track Geometry Correction,Twist fault,3,MEDIUM,2025-10-02,2025-10-04,2025-10-25,4.3,15,MEDIUM,In Progress,21,Normal
ENG0006,AST0203,SEC053,Turnout Maintenance,Crossing nose defect,4,LOW,2025-01-25,2025-01-28,2025-03-22,3.7,6,LOW,Cancelled,53,Low
ENG0007,AST0378,SEC003,Rail Replacement,Severely worn rail,1,CRITICAL,2025-06-14,2025-06-17,2025-06-21,5.4,15,HIGH,Pending,4,Urgent
ENG0008,AST0119,SEC044,Turnout Maintenance,Crossing nose defect,4,LOW,2025-11-01,2025-11-03,2025-12-14,1.4,9,LOW,Pending,41,Low
ENG0009,AST0302,SEC002,Ballast Maintenance,Drainage blockage,5,LOW,2025-10-08,2025-10-10,2025-12-28,4.8,12,LOW,Pending,79,Low
ENG0010,AST0398,SEC023,Rail Inspection,Gauge deviation,1,CRITICAL,2025-10-08,2025-10-09,2025-10-15,10.5,8,HIGH,Pending,6,Urgent
ENG0011,AST0311,SEC011,Sleeper Replacement,Decayed wooden sleeper,4,LOW,2025-09-09,2025-09-12,2025-11-07,6.0,9,LOW,Scheduled,56,Low
ENG0012,AST0114,SEC039,Welding,Weld crack,1,CRITICAL,2025-09-04,2025-09-05,2025-09-12,2.0,11,HIGH,Cancelled,7,Urgent
ENG0013,AST0211,SEC061,Rail Replacement,Severely worn rail,4,LOW,2025-06-18,2025-06-21,2025-08-09,4.1,15,LOW,Completed,49,Low
ENG0014,AST0015,SEC015,Welding,Misaligned weld,4,LOW,2025-07-04,2025-07-06,2025-08-28,7.0,2,LOW,Completed,53,Low
ENG0015,AST0395,SEC020,Ballast Maintenance,Vegetation growth,4,LOW,2025-10-20,2025-10-20,2025-11-25,5.7,3,LOW,Cancelled,36,Low
ENG0016,AST0026,SEC026,Track Geometry Correction,Twist fault,4,LOW,2025-10-01,2025-10-03,2025-11-26,9.7,4,LOW,Completed,54,Low
ENG0017,AST0232,SEC007,Rail Replacement,End-post fracture,4,LOW,2025-12-17,2025-12-20,2026-01-20,7.5,7,LOW,Completed,31,Low
ENG0018,AST0376,SEC001,Track Alignment,Lateral misalignment,5,LOW,2025-12-17,2025-12-19,2026-02-04,10.9,9,LOW,Completed,47,Low
ENG0019,AST0133,SEC058,Turnout Maintenance,Crossing nose defect,3,MEDIUM,2025-02-17,2025-02-18,2025-03-10,1.2,14,MEDIUM,Pending,20,Normal
ENG0020,AST0074,SEC074,Rail Replacement,End-post fracture,5,LOW,2025-02-25,2025-02-28,2025-05-01,11.0,3,LOW,Pending,62,Low
ENG0021,AST0299,SEC074,Track Geometry Correction,Twist fault,3,MEDIUM,2025-10-05,2025-10-05,2025-10-23,11.7,11,MEDIUM,Scheduled,18,Normal
ENG0022,AST0065,SEC065,Rail Inspection,Gauge deviation,3,MEDIUM,2025-02-13,2025-02-16,2025-03-18,11.4,4,MEDIUM,Completed,30,Normal
ENG0023,AST0315,SEC015,Ballast Maintenance,Drainage blockage,3,MEDIUM,2025-06-09,2025-06-11,2025-07-06,7.2,9,MEDIUM,Pending,25,Normal
ENG0024,AST0128,SEC053,Welding,Weld crack,2,HIGH,2025-12-18,2025-12-18,2025-12-26,11.3,7,HIGH,In Progress,8,Normal
ENG0025,AST0195,SEC045,Sleeper Replacement,Cracked sleeper,3,MEDIUM,2025-08-26,2025-08-26,2025-09-15,3.0,12,MEDIUM,Scheduled,20,Normal
ENG0026,AST0290,SEC065,Rail Inspection,Worn rail head,3,MEDIUM,2025-09-13,2025-09-16,2025-10-12,7.4,5,MEDIUM,Pending,26,Normal
ENG0027,AST0307,SEC007,Track Geometry Correction,Alignment defect,3,MEDIUM,2025-03-14,2025-03-15,2025-04-02,7.8,12,MEDIUM,Pending,18,Normal
