task_id,department,section_id,asset_id,asset_type,task_type,defect_type,severity,criticality,days_to_deadline,asset_age,failure_history,maintenance_frequency,estimated_duration_hours,required_team_size,safety_impact_encoded,train_traffic_density,expected_train_conflicts,historical_failure_rate,priority_score,priority_class,power_block_required,signal_block_required,track_block_required,status
ENG0001,Engineering,SEC009,AST0009,Track,Welding,Weld depression,3,MEDIUM,24,29.4,10,11.75,7.5,13,2,0.418,15.7,4.44,63.4,HIGH,False,False,True,Pending
ENG0002,Engineering,SEC061,AST0136,Track,Ballast Maintenance,Vegetation growth,1,CRITICAL,3,23.6,8,11.5,9.2,4,3,0.206,9.5,4.81,94.9,CRITICAL,False,False,True,Pending
ENG0003,Engineering,SEC059,AST0284,Track,Turnout Maintenance,Point mechanism fault,4,LOW,26,26.4,7,10.0,10.6,4,1,0.201,10.7,3.74,42.2,MEDIUM,False,False,True,In Progress
ENG0004,Engineering,SEC027,AST0252,Track,Rail Inspection,Gauge deviation,4,LOW,48,12.2,10,11.75,2.5,13,1,0.357,4.5,4.24,39.7,LOW,False,False,True,Scheduled
ENG0005,Engineering,SEC005,AST0230,Track,Track Geometry Correction,Twist fault,3,MEDIUM,21,5.3,10,11.75,4.3,15,2,0.528,11.4,3.62,65.8,HIGH,False,False,True,In Progress
ENG0006,Engineering,SEC053,AST0203,Track,Turnout Maintenance,Crossing nose defect,4,LOW,53,16.3,10,11.83,3.7,6,1,0.25,4.6,4.69,37.0,LOW,False,False,True,Cancelled
ENG0007,Engineering,SEC003,AST0378,Track,Rail Replacement,Severely worn rail,1,CRITICAL,4,14.6,10,12.67,5.4,15,3,0.492,13.3,4.29,99.0,CRITICAL,False,False,True,Pending
ENG0008,Engineering,SEC044,AST0119,Track,Turnout Maintenance,Crossing nose defect,4,LOW,41,4.4,10,12.25,1.4,9,1,0.347,2.4,5.07,41.1,MEDIUM,False,False,True,Pending
ENG0009,Engineering,SEC002,AST0302,Track,Ballast Maintenance,Drainage blockage,5,LOW,79,25.1,10,12.75,4.8,12,1,0.341,8.2,5.79,25.1,LOW,False,False,True,Pending
ENG0010,Engineering,SEC023,AST0398,Track,Rail Inspection,Gauge deviation,1,CRITICAL,6,29.0,10,12.25,10.5,8,3,0.453,23.8,6.82,98.0,CRITICAL,False,False,True,Pending
ENG0011,Engineering,SEC011,AST0311,Track,Sleeper Replacement,Decayed wooden sleeper,4,LOW,56,3.0,10,13.25,6.0,9,1,0.484,14.5,5.46,39.8,LOW,False,False,True,Scheduled
ENG0012,Engineering,SEC039,AST0114,Track,Welding,Weld crack,1,CRITICAL,7,10.5,8,9.42,2.0,11,3,0.359,3.6,5.55,96.3,CRITICAL,False,False,True,Cancelled
ENG0013,Engineering,SEC061,AST0211,Track,Rail Replacement,Severely worn rail,4,LOW,49,24.4,10,11.5,4.1,15,1,0.206,4.2,4.81,37.2,LOW,False,False,True,Completed
ENG0014,Engineering,SEC015,AST0015,Track,Welding,Misaligned weld,4,LOW,53,20.6,10,11.67,7.0,2,1,0.45,15.8,3.48,40.0,LOW,False,False,True,Completed
ENG0015,Engineering,SEC020,AST0395,Track,Ballast Maintenance,Vegetation growth,4,LOW,36,18.6,7,10.75,5.7,3,1,0.384,10.9,4.16,42.8,MEDIUM,False,False,True,Cancelled
ENG0016,Engineering,SEC026,AST0026,Track,Track Geometry Correction,Twist fault,4,LOW,54,24.5,10,11.42,9.7,4,1,0.516,25.0,7.05,40.7,MEDIUM,False,False,True,Completed
ENG0017,Engineering,SEC007,AST0232,Track,Rail Replacement,End-post fracture,4,LOW,31,0.6,10,11.25,7.5,7,1,0.474,17.8,4.8,45.2,MEDIUM,False,False,True,Completed
ENG0018,Engineering,SEC001,AST0376,Track,Track Alignment,Lateral misalignment,5,LOW,47,19.9,10,10.25,10.9,9,1,0.426,23.2,4.45,33.4,LOW,False,False,True,Completed
ENG0019,Engineering,SEC058,AST0133,Track,Turnout Maintenance,Crossing nose defect,3,MEDIUM,20,22.3,10,10.75,1.2,14,2,0.273,1.6,4.97,62.2,HIGH,False,False,True,Pending
ENG0020,Engineering,SEC074,AST0074,Track,Rail Replacement,End-post fracture,5,LOW,62,7.1,10,10.33,11.0,3,1,0.24,13.2,5.14,27.3,LOW,False,False,True,Pending
ENG0021,Engineering,SEC074,AST0299,Track,Track Geometry Correction,Twist fault,3,MEDIUM,18,4.9,10,10.33,11.7,11,2,0.24,14.0,5.14,62.1,HIGH,False,False,True,Scheduled
ENG0022,Engineering,SEC065,AST0065,Track,Rail Inspection,Gauge deviation,3,MEDIUM,30,13.8,10,10.75,11.4,4,2,0.287,16.4,3.89,60.1,HIGH,False,False,True,Completed
ENG0023,Engineering,SEC015,AST0315,Track,Ballast Maintenance,Drainage blockage,3,MEDIUM,25,5.1,10,11.67,7.2,9,2,0.45,16.2,3.48,63.7,HIGH,False,False,True,Pending
ENG0024,Engineering,SEC053,AST0128,Track,Welding,Weld crack,2,HIGH,8,23.9,3,11.83,11.3,7,3,0.25,14.1,4.69,82.0,CRITICAL,False,False,True,In Progress
