task_id,section_id,department,priority_score,duration_hours,earliest_start,latest_end,deadline,train_conflict_cost,traffic_density,power_block_required,signal_block_required,track_block_required,can_combine
ENG0001,SEC009,Engineering,63.4,7.5,2025-06-07 06:00,2025-07-01 22:00,2025-07-01,313.5,0.418,False,False,True,True
ENG0002,SEC061,Engineering,94.9,9.2,2025-07-21 06:00,2025-07-24 22:00,2025-07-24,189.5,0.206,False,False,True,True
ENG0004,SEC027,Engineering,39.7,2.5,2025-11-23 06:00,2026-01-10 22:00,2026-01-10,89.2,0.357,False,False,True,True
ENG0007,SEC003,Engineering,99.0,5.4,2025-06-17 06:00,2025-06-21 22:00,2025-06-21,265.7,0.492,False,False,True,True
ENG0008,SEC044,Engineering,41.1,1.4,2025-11-03 06:00,2025-12-14 22:00,2025-12-14,48.6,0.347,False,False,True,False
ENG0009,SEC002,Engineering,25.1,4.8,2025-10-10 06:00,2025-12-28 22:00,2025-12-28,163.7,0.341,False,False,True,True
ENG0010,SEC023,Engineering,98.0,10.5,2025-10-09 06:00,2025-10-15 22:00,2025-10-15,475.6,0.453,False,False,True,True
ENG0011,SEC011,Engineering,39.8,6.0,2025-09-12 06:00,2025-11-07 22:00,2025-11-07,290.4,0.484,False,False,True,False
ENG0019,SEC058,Engineering,62.2,1.2,2025-02-18 06:00,2025-03-10 22:00,2025-03-10,32.8,0.273,False,False,True,True
ENG0020,SEC074,Engineering,27.3,11.0,2025-02-28 06:00,2025-05-01 22:00,2025-05-01,264.0,0.24,False,False,True,True
ENG0021,SEC074,Engineering,62.1,11.7,2025-10-05 06:00,2025-10-23 22:00,2025-10-23,280.8,0.24,False,False,True,False
ENG0023,SEC015,Engineering,63.7,7.2,2025-06-11 06:00,2025-07-06 22:00,2025-07-06,324.0,0.45,False,False,True,True
ENG0025,SEC045,Engineering,62.3,3.0,2025-08-26 06:00,2025-09-15 22:00,2025-09-15,84.0,0.28,False,False,True,True
ENG0026,SEC065,Engineering,61.0,7.4,2025-09-16 06:00,2025-10-12 22:00,2025-10-12,212.4,0.287,False,False,True,True
ENG0027,SEC007,Engineering,65.6,7.8,2025-03-15 06:00,2025-04-02 22:00,2025-04-02,369.7,0.474,False,False,True,False
ENG0028,SEC007,Engineering,64.3,11.2,2025-07-11 06:00,2025-08-04 22:00,2025-08-04,530.9,0.474,False,False,True,True
ENG0029,SEC054,Engineering,37.7,3.5,2025-09-06 06:00,2025-10-24 22:00,2025-10-24,79.4,0.227,False,False,True,False
ENG0032,SEC066,Engineering,81.2,6.8,2025-01-18 06:00,2025-01-31 22:00,2025-01-31,183.6,0.27,False,False,True,True
ENG0034,SEC002,Engineering,23.7,9.3,2025-07-11 06:00,2025-10-04 22:00,2025-10-04,317.1,0.341,False,False,True,True
