task_id,asset_id,section_id,asset_type,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,power_block_required,days_until_due,urgency_category
TRC0001,AST0479,SEC029,Electrical switchgear,Feeder Repair,Joint failure,2,HIGH,2025-08-02,2025-08-04,2025-08-14,11.4,9,HIGH,Pending,False,10,Normal
TRC0002,AST0431,SEC056,Electrical switchgear,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-01-18,2025-01-21,2025-02-14,6.4,8,MEDIUM,Scheduled,False,24,Normal
TRC0003,AST0502,SEC052,Sectioning equipment,Feeder Repair,Cable damage,3,MEDIUM,2025-01-14,2025-01-17,2025-02-10,4.8,15,MEDIUM,Scheduled,True,24,Normal
TRC0004,AST0443,SEC068,Catenary,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-08-23,2025-08-23,2025-09-07,1.5,3,MEDIUM,Completed,True,15,Normal
TRC0005,AST0441,SEC066,Pantograph interface,Insulator Replacement,Pollution deposit,1,CRITICAL,2025-07-02,2025-07-03,2025-07-09,11.5,6,HIGH,Scheduled,False,6,Urgent
TRC0006,AST0524,SEC074,Transformer,Sectioning Post Maintenance,Isolator defect,2,HIGH,2025-08-05,2025-08-06,2025-08-16,6.2,3,HIGH,Completed,True,10,Normal
TRC0007,AST0509,SEC059,Feeder,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-11-17,2025-11-17,2025-12-14,5.8,13,MEDIUM,Completed,True,27,Normal
TRC0008,AST0440,SEC065,OHE,Feeder Repair,Cable damage,4,LOW,2025-12-09,2025-12-10,2026-01-18,9.1,13,LOW,Pending,True,39,Low
TRC0009,AST0593,SEC068,Pantograph interface,OHE Inspection,Height deviation,3,MEDIUM,2025-09-03,2025-09-05,2025-10-03,7.0,14,MEDIUM,Pending,True,28,Normal
TRC0010,AST0570,SEC045,Insulator,Insulator Replacement,Cracked insulator,3,MEDIUM,2025-01-01,2025-01-04,2025-02-01,3.5,7,MEDIUM,Cancelled,False,28,Normal
TRC0011,AST0489,SEC039,Pantograph interface,Sectioning Post Maintenance,Interrupter fault,4,LOW,2025-09-12,2025-09-13,2025-11-12,6.3,5,LOW,Pending,True,60,Low
TRC0012,AST0616,SEC016,OHE,Switchgear Maintenance,Relay malfunction,3,MEDIUM,2025-08-28,2025-08-30,2025-09-29,6.6,14,MEDIUM,In Progress,True,30,Normal
TRC0013,AST0599,SEC074,Electrical switchgear,OHE Mast Repair,Bracket damage,3,MEDIUM,2025-02-17,2025-02-18,2025-03-18,5.8,2,MEDIUM,Completed,True,28,Normal
TRC0014,AST0549,SEC024,Feeder,Switchgear Maintenance,Relay malfunction,3,MEDIUM,2025-08-11,2025-08-12,2025-09-03,8.7,3,MEDIUM,Completed,True,22,Normal
TRC0015,AST0658,SEC058,Insulator,Transformer Servicing,Winding fault,3,MEDIUM,2025-06-12,2025-06-12,2025-07-05,1.5,11,MEDIUM,Pending,True,23,Normal
TRC0016,AST0594,SEC069,Insulator,Catenary Maintenance,Catenary sag,4,LOW,2025-05-21,2025-05-21,2025-07-14,5.5,9,LOW,Cancelled,False,54,Low
TRC0017,AST0639,SEC039,Electrical switchgear,Catenary Maintenance,Splice joint fault,1,CRITICAL,2025-01-12,2025-01-12,2025-01-18,2.5,8,HIGH,Pending,True,6,Urgent
TRC0018,AST0495,SEC045,Electrical switchgear,Feeder Repair,Overheating,3,MEDIUM,2025-06-25,2025-06-28,2025-07-17,4.9,15,MEDIUM,Completed,True,19,Normal
TRC0019,AST0625,SEC025,Pantograph interface,Transformer Servicing,Bushing defect,1,CRITICAL,2025-11-15,2025-11-15,2025-11-21,4.4,14,HIGH,Pending,True,6,Urgent
TRC0020,AST0491,SEC041,Catenary,OHE Inspection,Dropper defect,4,LOW,2025-01-02,2025-01-04,2025-03-05,8.9,4,LOW,Completed,True,60,Low
TRC0021,AST0531,SEC006,Catenary,Switchgear Maintenance,Arc damage,3,MEDIUM,2025-02-07,2025-02-09,2025-03-11,5.4,10,MEDIUM,Cancelled,True,30,Normal
TRC0022,AST0662,SEC062,Sectioning equipment,OHE Inspection,Height deviation,3,MEDIUM,2025-12-18,2025-12-21,2026-01-17,11.8,3,MEDIUM,Cancelled,True,27,Normal
TRC0023,AST0633,SEC033,Pantograph interface,OHE Mast Repair,Foundation settlement,5,LOW,2025-03-19,2025-03-22,2025-05-16,10.0,4,LOW,Pending,False,55,Low
TRC0024,AST0419,SEC044,Catenary,Transformer Servicing,Cooling system failure,3,MEDIUM,2025-04-17,2025-04-20,2025-05-13,2.7,2,MEDIUM,Pending,True,23,Normal
TRC0025,AST0470,SEC020,Sectioning equipment,Sectioning Post Maintenance,Isolator defect,2,HIGH,2025-08-24,2025-08-26,2025-09-10,4.6,2,HIGH,Pending,True,15,Normal
TRC0026,AST0638,SEC038,Sectioning equipment,OHE Inspection,Dropper defect,5,LOW,2025-07-28,2025-07-31,2025-09-23,11.0,15,LOW,Scheduled,True,54,Low
TRC0027,AST0668,SEC068,Transformer,OHE Mast Repair,Bracket damage,4,LOW,2025-09-13,2025-09-16,2025-11-04,12.0,13,LOW,Completed,False,49,Low
TRC0028,AST0659,SEC059,Catenary,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-11-24,2025-11-24,2025-12-22,9.5,6,MEDIUM,Pending,True,28,Normal
TRC0029,AST0655,SEC055,Electrical switchgear,Sectioning Post Maintenance,Jumper damage,2,HIGH,2025-02-21,2025-02-24,2025-03-06,1.4,14,HIGH,Cancelled,True,10,Normal
TRC0030,AST0497,SEC047,Pantograph interface,Catenary Maintenance,Splice joint fault,2,HIGH,2025-01-13,2025-01-13,2025-01-24,8.0,5,HIGH,Completed,True,11,Normal
TRC0031,AST0571,SEC046,Catenary,Switchgear Maintenance,Relay malfunction,4,LOW,2025-01-22,2025-01-25,2025-02-24,3.4,7,LOW,Scheduled,True,30,Normal
TRC0032,AST0438,SEC063,Sectioning equipment,Catenary Maintenance,Tension deviation,4,LOW,2025-12-07,2025-12-07,2026-01-31,7.2,10,LOW,Completed,True,55,Low
TRC0033,AST0476,SEC026,Transformer,OHE Mast Repair,Corrosion,2,HIGH,2025-02-12,2025-02-14,2025-02-24,6.5,12,HIGH,Completed,True,10,Normal
TRC0034,AST0550,SEC025,Sectioning equipment,Sectioning Post Maintenance,Earthing issue,2,HIGH,2025-05-12,2025-05-14,2025-05-28,11.2,5,HIGH,Scheduled,True,14,Normal
TRC0035,AST0591,SEC066,Electrical switchgear,Catenary Maintenance,Registration arm damage,3,MEDIUM,2025-02-24,2025-02-24,2025-03-16,6.7,2,MEDIUM,Completed,True,20,Normal
TRC0036,AST0634,SEC034,Insulator,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-05-07,2025-05-07,2025-06-04,2.6,4,MEDIUM,Completed,False,28,Normal
TRC0037,AST0639,SEC039,Electrical switchgear,Sectioning Post Maintenance,Earthing issue,3,MEDIUM,2025-07-04,2025-07-06,2025-07-22,2.8,5,MEDIUM,Completed,False,16,Normal
TRC0038,AST0551,SEC026,Electrical switchgear,Transformer Servicing,Cooling system failure,3,MEDIUM,2025-08-11,2025-08-11,2025-09-03,6.8,12,MEDIUM,Scheduled,True,23,Normal
TRC0039,AST0420,SEC045,Transformer,OHE Mast Repair,Corrosion,5,LOW,2025-07-20,2025-07-23,2025-09-28,1.2,3,LOW,Completed,False,67,Low
TRC0040,AST0495,SEC045,Electrical switchgear,OHE Mast Repair,Bracket damage,4,LOW,2025-04-02,2025-04-05,2025-05-29,2.4,3,LOW,Completed,False,54,Low
TRC0041,AST0487,SEC037,Electrical switchgear,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-09-02,2025-09-05,2025-09-28,4.2,13,MEDIUM,Pending,True,23,Normal
TRC0042,AST0688,SEC013,OHE,Insulator Replacement,Pollution deposit,5,LOW,2025-10-11,2025-10-12,2025-12-05,1.5,2,LOW,Completed,True,54,Low
TRC0043,AST0689,SEC014,Pantograph interface,Catenary Maintenance,Catenary sag,3,MEDIUM,2025-11-10,2025-11-10,2025-11-30,8.2,12,MEDIUM,Pending,False,20,Normal
TRC0044,AST0680,SEC005,OHE,Insulator Replacement,Mechanical failure,2,HIGH,2025-08-02,2025-08-05,2025-08-16,2.4,4,HIGH,Cancelled,False,11,Normal
TRC0045,AST0412,SEC037,Transformer,Feeder Repair,Overheating,3,MEDIUM,2025-01-15,2025-01-17,2025-02-09,2.9,4,MEDIUM,Scheduled,True,23,Normal
TRC0046,AST0652,SEC052,Transformer,Feeder Repair,Insulation breakdown,2,HIGH,2025-01-13,2025-01-14,2025-01-28,4.5,7,HIGH,Completed,True,14,Normal
TRC0047,AST0455,SEC005,Electrical switchgear,Feeder Repair,Cable damage,4,LOW,2025-06-02,2025-06-04,2025-07-12,9.2,9,LOW,Scheduled,False,38,Low
TRC0048,AST0621,SEC021,Feeder,Feeder Repair,Insulation breakdown,2,HIGH,2025-10-10,2025-10-11,2025-10-18,9.3,13,HIGH,In Progress,True,7,Urgent
TRC0049,AST0422,SEC047,Sectioning equipment,Feeder Repair,Overheating,1,CRITICAL,2025-12-17,2025-12-18,2025-12-23,8.9,3,HIGH,Completed,True,5,Urgent
TRC0050,AST0475,SEC025,Catenary,Switchgear Maintenance,Contactor wear,4,LOW,2025-08-09,2025-08-09,2025-09-07,1.9,12,LOW,Pending,True,29,Normal
TRC0051,AST0656,SEC056,OHE,OHE Mast Repair,Bracket damage,4,LOW,2025-12-14,2025-12-14,2026-01-27,8.3,8,LOW,Pending,True,44,Low
TRC0052,AST0620,SEC020,Transformer,OHE Mast Repair,Guy wire slack,5,LOW,2025-02-21,2025-02-23,2025-05-15,1.9,7,LOW,Pending,False,81,Low
TRC0053,AST0437,SEC062,Feeder,Insulator Replacement,Cracked insulator,3,MEDIUM,2025-03-04,2025-03-06,2025-04-03,5.7,10,MEDIUM,Scheduled,True,28,Normal
TRC0054,AST0640,SEC040,OHE,Switchgear Maintenance,Contactor wear,5,LOW,2025-09-16,2025-09-18,2025-11-15,2.3,5,LOW,Completed,True,58,Low
TRC0055,AST0425,SEC050,Pantograph interface,Switchgear Maintenance,Arc damage,4,LOW,2025-12-08,2025-12-11,2026-01-26,5.7,10,LOW,Completed,False,46,Low
TRC0056,AST0516,SEC066,Transformer,Catenary Maintenance,Catenary sag,2,HIGH,2025-08-01,2025-08-03,2025-08-16,7.1,15,HIGH,Scheduled,False,13,Normal
TRC0057,AST0486,SEC036,Sectioning equipment,OHE Mast Repair,Guy wire slack,1,CRITICAL,2025-01-22,2025-01-25,2025-01-30,1.4,9,HIGH,Completed,True,5,Urgent
TRC0058,AST0480,SEC030,OHE,Insulator Replacement,Cracked insulator,5,LOW,2025-10-25,2025-10-26,2025-12-07,1.1,3,LOW,Pending,True,42,Low
TRC0059,AST0643,SEC043,Catenary,Insulator Replacement,Mechanical failure,2,HIGH,2025-07-19,2025-07-20,2025-07-28,5.7,15,HIGH,Scheduled,True,8,Normal
TRC0060,AST0638,SEC038,Sectioning equipment,Catenary Maintenance,Tension deviation,1,CRITICAL,2025-10-12,2025-10-13,2025-10-17,4.9,13,HIGH,Pending,True,4,Urgent
TRC0061,AST0619,SEC019,Catenary,OHE Mast Repair,Bracket damage,2,HIGH,2025-05-11,2025-05-12,2025-05-22,10.3,4,HIGH,Scheduled,True,10,Normal
TRC0062,AST0623,SEC023,Electrical switchgear,Switchgear Maintenance,Contactor wear,3,MEDIUM,2025-01-13,2025-01-15,2025-02-05,5.1,12,MEDIUM,In Progress,False,21,Normal
TRC0063,AST0517,SEC067,Feeder,Switchgear Maintenance,Circuit breaker fault,5,LOW,2025-05-09,2025-05-11,2025-07-25,10.7,7,LOW,Cancelled,True,75,Low
TRC0064,AST0556,SEC031,Transformer,Transformer Servicing,Cooling system failure,4,LOW,2025-10-30,2025-10-30,2025-11-29,4.9,12,LOW,In Progress,False,30,Normal
TRC0065,AST0526,SEC001,Sectioning equipment,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-03-22,2025-03-25,2025-04-10,1.7,6,MEDIUM,Pending,True,16,Normal
TRC0066,AST0453,SEC003,Feeder,Transformer Servicing,Oil leak,1,CRITICAL,2025-05-24,2025-05-24,2025-05-29,11.6,13,HIGH,Scheduled,True,5,Urgent
TRC0067,AST0465,SEC015,Pantograph interface,Catenary Maintenance,Splice joint fault,4,LOW,2025-10-15,2025-10-17,2025-12-01,1.8,14,LOW,Pending,True,45,Low
TRC0068,AST0655,SEC055,Electrical switchgear,Catenary Maintenance,Catenary sag,2,HIGH,2025-04-29,2025-04-29,2025-05-14,10.5,14,HIGH,Completed,True,15,Normal
TRC0069,AST0605,SEC005,Feeder,Insulator Replacement,Mechanical failure,2,HIGH,2025-10-05,2025-10-08,2025-10-17,3.9,5,HIGH,Pending,True,9,Normal
TRC0070,AST0697,SEC022,Pantograph interface,OHE Inspection,Contact wire wear,3,MEDIUM,2025-12-03,2025-12-06,2025-12-22,11.6,7,MEDIUM,Scheduled,False,16,Normal
TRC0071,AST0534,SEC009,Sectioning equipment,OHE Inspection,Contact wire wear,5,LOW,2025-01-03,2025-01-04,2025-02-19,10.9,13,LOW,Completed,True,46,Low
TRC0072,AST0472,SEC022,OHE,OHE Mast Repair,Guy wire slack,3,MEDIUM,2025-07-02,2025-07-05,2025-07-26,7.2,8,MEDIUM,Completed,True,21,Normal
TRC0073,AST0438,SEC063,Sectioning equipment,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-10-18,2025-10-20,2025-11-23,3.4,15,LOW,Completed,True,34,Low
TRC0074,AST0485,SEC035,Feeder,Sectioning Post Maintenance,Jumper damage,4,LOW,2025-07-11,2025-07-11,2025-08-11,10.2,6,LOW,Completed,True,31,Low
TRC0075,AST0420,SEC045,Transformer,Catenary Maintenance,Catenary sag,3,MEDIUM,2025-02-19,2025-02-22,2025-03-23,4.7,9,MEDIUM,Scheduled,True,29,Normal
TRC0076,AST0457,SEC007,Pantograph interface,Insulator Replacement,Cracked insulator,5,LOW,2025-03-04,2025-03-07,2025-05-10,10.6,6,LOW,In Progress,False,64,Low
TRC0077,AST0433,SEC058,Pantograph interface,Transformer Servicing,Cooling system failure,3,MEDIUM,2025-12-19,2025-12-21,2026-01-12,9.0,3,MEDIUM,Pending,True,22,Normal
TRC0078,AST0633,SEC033,Pantograph interface,Transformer Servicing,Bushing defect,3,MEDIUM,2025-04-24,2025-04-25,2025-05-24,9.3,9,MEDIUM,Completed,True,29,Normal
TRC0079,AST0559,SEC034,Electrical switchgear,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-01-02,2025-01-02,2025-01-19,9.5,14,MEDIUM,Completed,True,17,Normal
TRC0080,AST0684,SEC009,Transformer,OHE Mast Repair,Foundation settlement,4,LOW,2025-10-17,2025-10-17,2025-11-18,6.4,11,LOW,Cancelled,True,32,Low
TRC0081,AST0640,SEC040,OHE,Insulator Replacement,Cracked insulator,4,LOW,2025-01-25,2025-01-27,2025-02-26,2.1,3,LOW,Completed,True,30,Normal
TRC0082,AST0442,SEC067,Insulator,Insulator Replacement,Mechanical failure,2,HIGH,2025-05-04,2025-05-04,2025-05-18,5.0,9,HIGH,Pending,False,14,Normal
TRC0083,AST0460,SEC010,Transformer,Feeder Repair,Overheating,3,MEDIUM,2025-11-18,2025-11-20,2025-12-17,5.6,3,MEDIUM,Completed,False,27,Normal
TRC0084,AST0628,SEC028,Transformer,Transformer Servicing,Cooling system failure,3,MEDIUM,2025-09-07,2025-09-09,2025-09-24,5.6,9,MEDIUM,Pending,False,15,Normal
TRC0085,AST0416,SEC041,OHE,Switchgear Maintenance,Circuit breaker fault,3,MEDIUM,2025-08-16,2025-08-16,2025-09-03,6.8,11,MEDIUM,Pending,True,18,Normal
TRC0086,AST0662,SEC062,Sectioning equipment,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-10-24,2025-10-27,2025-11-19,2.0,3,MEDIUM,Scheduled,True,23,Normal
TRC0087,AST0523,SEC073,Catenary,Transformer Servicing,Oil leak,3,MEDIUM,2025-05-10,2025-05-13,2025-05-30,6.7,3,MEDIUM,Pending,True,17,Normal
TRC0088,AST0550,SEC025,Sectioning equipment,Sectioning Post Maintenance,Earthing issue,3,MEDIUM,2025-10-31,2025-11-03,2025-11-17,10.9,13,MEDIUM,Completed,True,14,Normal
TRC0089,AST0453,SEC003,Feeder,Feeder Repair,Cable damage,1,CRITICAL,2025-09-23,2025-09-24,2025-09-27,10.4,7,HIGH,Completed,True,3,Urgent
TRC0090,AST0456,SEC006,OHE,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-04-15,2025-04-15,2025-05-17,3.2,12,LOW,Completed,True,32,Low
TRC0091,AST0611,SEC011,Catenary,Insulator Replacement,Flashover damage,3,MEDIUM,2025-07-25,2025-07-25,2025-08-16,6.0,6,MEDIUM,Completed,True,22,Normal
TRC0092,AST0673,SEC073,Pantograph interface,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-06-21,2025-06-22,2025-07-18,6.5,11,MEDIUM,Completed,True,26,Normal
TRC0093,AST0473,SEC023,Pantograph interface,Sectioning Post Maintenance,Isolator defect,4,LOW,2025-08-28,2025-08-30,2025-10-19,7.7,12,LOW,Completed,False,50,Low
TRC0094,AST0437,SEC062,Feeder,Switchgear Maintenance,Arc damage,3,MEDIUM,2025-02-26,2025-02-26,2025-03-16,2.7,15,MEDIUM,Completed,True,18,Normal
TRC0095,AST0465,SEC015,Pantograph interface,Sectioning Post Maintenance,Interrupter fault,1,CRITICAL,2025-12-14,2025-12-14,2025-12-20,10.8,9,HIGH,Completed,True,6,Urgent
TRC0096,AST0572,SEC047,Transformer,Sectioning Post Maintenance,Jumper damage,2,HIGH,2025-03-31,2025-04-01,2025-04-11,2.8,15,HIGH,Pending,True,10,Normal
TRC0097,AST0606,SEC006,Sectioning equipment,Insulator Replacement,Mechanical failure,3,MEDIUM,2025-06-20,2025-06-21,2025-07-16,10.4,5,MEDIUM,Pending,True,25,Normal
TRC0098,AST0473,SEC023,Pantograph interface,Transformer Servicing,Cooling system failure,4,LOW,2025-10-14,2025-10-17,2025-11-29,7.4,11,LOW,In Progress,False,43,Low
TRC0099,AST0478,SEC028,Sectioning equipment,Transformer Servicing,Bushing defect,3,MEDIUM,2025-04-01,2025-04-04,2025-04-26,10.7,6,MEDIUM,Pending,True,22,Normal
TRC0100,AST0621,SEC021,Feeder,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-10-27,2025-10-29,2025-11-16,7.6,13,MEDIUM,Pending,True,18,Normal
TRC0101,AST0598,SEC073,Sectioning equipment,Catenary Maintenance,Registration arm damage,2,HIGH,2025-06-26,2025-06-28,2025-07-11,1.3,6,HIGH,Scheduled,True,13,Normal
TRC0102,AST0537,SEC012,Pantograph interface,Catenary Maintenance,Catenary sag,3,MEDIUM,2025-08-08,2025-08-11,2025-09-04,8.3,13,MEDIUM,Cancelled,True,24,Normal
TRC0103,AST0679,SEC004,Electrical switchgear,Insulator Replacement,Flashover damage,1,CRITICAL,2025-02-08,2025-02-10,2025-02-15,3.2,4,HIGH,In Progress,False,5,Urgent
TRC0104,AST0423,SEC048,Electrical switchgear,Feeder Repair,Joint failure,5,LOW,2025-08-13,2025-08-14,2025-10-11,11.1,6,LOW,Completed,False,58,Low
TRC0105,AST0553,SEC028,Pantograph interface,OHE Mast Repair,Corrosion,1,CRITICAL,2025-09-05,2025-09-06,2025-09-11,6.2,4,HIGH,Scheduled,False,5,Urgent
TRC0106,AST0414,SEC039,Sectioning equipment,Switchgear Maintenance,Arc damage,3,MEDIUM,2025-10-28,2025-10-30,2025-11-22,2.5,3,MEDIUM,Pending,True,23,Normal
TRC0107,AST0470,SEC020,Sectioning equipment,Feeder Repair,Cable damage,4,LOW,2025-10-31,2025-11-02,2025-12-08,9.2,7,LOW,Pending,True,36,Low
TRC0108,AST0659,SEC059,Catenary,OHE Inspection,Stagger fault,2,HIGH,2025-04-21,2025-04-21,2025-04-29,5.2,8,HIGH,Completed,True,8,Normal
TRC0109,AST0658,SEC058,Insulator,OHE Mast Repair,Guy wire slack,3,MEDIUM,2025-11-15,2025-11-16,2025-12-03,1.9,12,MEDIUM,Completed,True,17,Normal
TRC0110,AST0617,SEC017,Pantograph interface,Switchgear Maintenance,Arc damage,1,CRITICAL,2025-09-19,2025-09-21,2025-09-27,3.9,12,HIGH,Completed,False,6,Urgent
TRC0111,AST0420,SEC045,Transformer,Feeder Repair,Joint failure,3,MEDIUM,2025-10-02,2025-10-03,2025-10-23,1.2,10,MEDIUM,Completed,False,20,Normal
TRC0112,AST0592,SEC067,OHE,Switchgear Maintenance,Contactor wear,3,MEDIUM,2025-07-16,2025-07-19,2025-08-04,8.7,3,MEDIUM,Completed,True,16,Normal
TRC0113,AST0537,SEC012,Pantograph interface,Feeder Repair,Cable damage,3,MEDIUM,2025-11-15,2025-11-15,2025-12-09,6.2,15,MEDIUM,Pending,True,24,Normal
TRC0114,AST0436,SEC061,Transformer,Sectioning Post Maintenance,Jumper damage,4,LOW,2025-11-24,2025-11-27,2026-01-13,10.5,6,LOW,Scheduled,True,47,Low
TRC0115,AST0680,SEC005,OHE,Insulator Replacement,Pollution deposit,5,LOW,2025-01-23,2025-01-25,2025-04-09,11.5,2,LOW,Pending,True,74,Low
TRC0116,AST0604,SEC004,Transformer,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-10-28,2025-10-30,2025-12-26,6.2,11,LOW,Completed,True,57,Low
TRC0117,AST0431,SEC056,Electrical switchgear,Feeder Repair,Overheating,4,LOW,2025-06-14,2025-06-15,2025-07-19,10.2,6,LOW,In Progress,True,34,Low
TRC0118,AST0518,SEC068,Sectioning equipment,Sectioning Post Maintenance,Interrupter fault,5,LOW,2025-07-13,2025-07-16,2025-10-09,4.0,2,LOW,Completed,True,85,Low
