section_id,date,time_window_start,time_window_end,occupied,train_count,traffic_density
SEC001,2025-01-01,00:00,02:00,True,1,0.226
SEC001,2025-01-01,02:00,04:00,False,0,0.0
SEC001,2025-01-01,04:00,06:00,True,1,0.226
SEC001,2025-01-01,06:00,08:00,False,0,0.0
SEC001,2025-01-01,08:00,10:00,True,1,0.226
SEC001,2025-01-01,10:00,12:00,True,2,0.453
SEC001,2025-01-01,12:00,14:00,True,4,0.906
SEC001,2025-01-01,14:00,16:00,True,2,0.453
SEC001,2025-01-01,16:00,18:00,True,2,0.453
SEC001,2025-01-01,18:00,20:00,True,6,1.0
SEC001,2025-01-01,20:00,22:00,True,6,1.0
SEC001,2025-01-01,22:00,00:00,True,2,0.453
SEC002,2025-01-01,00:00,02:00,True,2,0.471
SEC002,2025-01-01,02:00,04:00,True,2,0.471
SEC002,2025-01-01,04:00,06:00,True,1,0.235
SEC002,2025-01-01,06:00,08:00,True,1,0.235
SEC002,2025-01-01,08:00,10:00,True,2,0.471
SEC002,2025-01-01,10:00,12:00,True,5,1.0
SEC002,2025-01-01,12:00,14:00,True,5,1.0
SEC002,2025-01-01,14:00,16:00,False,0,0.0
SEC002,2025-01-01,16:00,18:00,True,5,1.0
SEC002,2025-01-01,18:00,20:00,True,6,1.0
SEC002,2025-01-01,20:00,22:00,True,3,0.706
SEC002,2025-01-01,22:00,00:00,True,2,0.471
SEC003,2025-01-01,00:00,02:00,False,0,0.0
SEC003,2025-01-01,02:00,04:00,True,3,0.766
SEC003,2025-01-01,04:00,06:00,False,0,0.0
SEC003,2025-01-01,06:00,08:00,True,2,0.511
SEC003,2025-01-01,08:00,10:00,True,1,0.255
SEC003,2025-01-01,10:00,12:00,True,3,0.766
SEC003,2025-01-01,12:00,14:00,True,4,1.0
SEC003,2025-01-01,14:00,16:00,True,2,0.511
SEC003,2025-01-01,16:00,18:00,True,3,0.766
SEC003,2025-01-01,18:00,20:00,True,4,1.0
SEC003,2025-01-01,20:00,22:00,True,4,1.0
SEC003,2025-01-01,22:00,00:00,True,3,0.766
SEC004,2025-01-01,00:00,02:00,False,0,0.0
SEC004,2025-01-01,02:00,04:00,True,3,0.8
SEC004,2025-01-01,04:00,06:00,False,0,0.0
SEC004,2025-01-01,06:00,08:00,True,2,0.533
SEC004,2025-01-01,08:00,10:00,True,1,0.267
SEC004,2025-01-01,10:00,12:00,True,2,0.533
SEC004,2025-01-01,12:00,14:00,True,4,1.0
SEC004,2025-01-01,14:00,16:00,True,2,0.533
SEC004,2025-01-01,16:00,18:00,True,2,0.533
SEC004,2025-01-01,18:00,20:00,True,4,1.0
SEC004,2025-01-01,20:00,22:00,True,5,1.0
SEC004,2025-01-01,22:00,00:00,True,3,0.8
SEC005,2025-01-01,00:00,02:00,False,0,0.0
SEC005,2025-01-01,02:00,04:00,True,2,0.533
SEC005,2025-01-01,04:00,06:00,True,3,0.8
SEC005,2025-01-01,06:00,08:00,False,0,0.0
SEC005,2025-01-01,08:00,10:00,True,1,0.267
SEC005,2025-01-01,10:00,12:00,True,5,1.0
SEC005,2025-01-01,12:00,14:00,True,2,0.533
SEC005,2025-01-01,14:00,16:00,True,1,0.267
