forecast_date,section_id,time_window_start,time_window_end,expected_goods_trains,expected_traffic_load,traffic_density,forecast_confidence
2025-01-01,SEC001,00:00,02:00,5,51.4,HIGH,0.89
2025-01-01,SEC001,02:00,04:00,4,59.18,HIGH,0.96
2025-01-01,SEC001,04:00,06:00,4,43.05,MEDIUM,0.61
2025-01-01,SEC001,06:00,08:00,3,33.65,MEDIUM,0.64
2025-01-01,SEC001,08:00,10:00,2,34.9,MEDIUM,0.88
2025-01-01,SEC001,10:00,12:00,3,21.63,LOW,0.77
2025-01-01,SEC001,12:00,14:00,2,35.93,MEDIUM,0.6
2025-01-01,SEC001,14:00,16:00,1,23.6,LOW,0.76
2025-01-01,SEC001,16:00,18:00,4,48.37,MEDIUM,0.67
2025-01-01,SEC001,18:00,20:00,2,38.18,MEDIUM,0.63
2025-01-01,SEC001,20:00,22:00,2,40.5,MEDIUM,0.96
2025-01-01,SEC001,22:00,00:00,5,59.8,HIGH,0.95
2025-01-01,SEC002,00:00,02:00,7,36.7,MEDIUM,0.72
2025-01-01,SEC002,02:00,04:00,1,40.03,MEDIUM,0.76
2025-01-01,SEC002,04:00,06:00,2,30.52,MEDIUM,0.92
2025-01-01,SEC002,06:00,08:00,2,27.84,MEDIUM,0.62
2025-01-01,SEC002,08:00,10:00,1,38.68,MEDIUM,0.94
2025-01-01,SEC002,10:00,12:00,1,26.56,MEDIUM,0.72
2025-01-01,SEC002,12:00,14:00,2,11.16,LOW,0.8
2025-01-01,SEC002,14:00,16:00,0,28.43,MEDIUM,0.85
2025-01-01,SEC002,16:00,18:00,4,24.12,LOW,0.8
2025-01-01,SEC002,18:00,20:00,1,33.6,MEDIUM,0.64
2025-01-01,SEC002,20:00,22:00,3,31.92,MEDIUM,0.95
2025-01-01,SEC002,22:00,00:00,4,41.89,MEDIUM,0.92
2025-01-01,SEC003,00:00,02:00,6,60.27,HIGH,0.86
2025-01-01,SEC003,02:00,04:00,2,68.43,HIGH,0.82
2025-01-01,SEC003,04:00,06:00,1,64.75,HIGH,0.76
2025-01-01,SEC003,06:00,08:00,4,38.99,MEDIUM,0.61
2025-01-01,SEC003,08:00,10:00,3,55.12,HIGH,0.95
2025-01-01,SEC003,10:00,12:00,1,38.13,MEDIUM,0.95
2025-01-01,SEC003,12:00,14:00,5,28.84,MEDIUM,0.96
2025-01-01,SEC003,14:00,16:00,5,41.79,MEDIUM,0.84
2025-01-01,SEC003,16:00,18:00,4,37.32,MEDIUM,0.93
2025-01-01,SEC003,18:00,20:00,3,42.58,MEDIUM,0.79
2025-01-01,SEC003,20:00,22:00,5,50.63,HIGH,0.66
2025-01-01,SEC003,22:00,00:00,6,61.81,HIGH,0.61
2025-01-01,SEC004,00:00,02:00,2,52.99,HIGH,0.84
2025-01-01,SEC004,02:00,04:00,3,56.3,HIGH,0.67
2025-01-01,SEC004,04:00,06:00,5,53.2,HIGH,0.89
2025-01-01,SEC004,06:00,08:00,5,43.41,MEDIUM,0.79
2025-01-01,SEC004,08:00,10:00,3,31.32,MEDIUM,0.65
2025-01-01,SEC004,10:00,12:00,2,20.75,LOW,0.66
2025-01-01,SEC004,12:00,14:00,2,24.05,LOW,0.63
2025-01-01,SEC004,14:00,16:00,2,27.17,MEDIUM,0.62
2025-01-01,SEC004,16:00,18:00,2,39.42,MEDIUM,0.78
2025-01-01,SEC004,18:00,20:00,3,32.99,MEDIUM,0.65
2025-01-01,SEC004,20:00,22:00,4,35.84,MEDIUM,0.77
2025-01-01,SEC004,22:00,00:00,4,59.46,HIGH,0.87
2025-01-01,SEC005,00:00,02:00,7,55.83,HIGH,0.97
2025-01-01,SEC005,02:00,04:00,2,65.15,HIGH,0.95
2025-01-01,SEC005,04:00,06:00,2,67.98,HIGH,0.89
2025-01-01,SEC005,06:00,08:00,4,44.65,MEDIUM,0.92
2025-01-01,SEC005,08:00,10:00,6,46.72,MEDIUM,0.83
2025-01-01,SEC005,10:00,12:00,1,40.16,MEDIUM,0.67
2025-01-01,SEC005,12:00,14:00,2,30.93,MEDIUM,0.81
2025-01-01,SEC005,14:00,16:00,6,35.79,MEDIUM,0.99
2025-01-01,SEC005,16:00,18:00,4,46.68,MEDIUM,0.72
2025-01-01,SEC005,18:00,20:00,6,56.95,HIGH,0.88
2025-01-01,SEC005,20:00,22:00,8,51.06,HIGH,0.86
2025-01-01,SEC005,22:00,00:00,5,65.78,HIGH,0.94
2025-01-01,SEC006,00:00,02:00,8,68.64,HIGH,0.65
2025-01-01,SEC006,02:00,04:00,8,61.82,HIGH,0.88
2025-01-01,SEC006,04:00,06:00,3,53.58,HIGH,0.97
2025-01-01,SEC006,06:00,08:00,4,39.79,MEDIUM,0.75
2025-01-01,SEC006,08:00,10:00,2,39.47,MEDIUM,0.74
2025-01-01,SEC006,10:00,12:00,1,40.65,MEDIUM,0.86
2025-01-01,SEC006,12:00,14:00,3,30.09,MEDIUM,0.62
2025-01-01,SEC006,14:00,16:00,0,36.58,MEDIUM,0.96
2025-01-01,SEC006,16:00,18:00,6,40.82,MEDIUM,0.71
2025-01-01,SEC006,18:00,20:00,3,50.75,HIGH,0.64
2025-01-01,SEC006,20:00,22:00,2,49.37,MEDIUM,0.79
2025-01-01,SEC006,22:00,00:00,4,65.53,HIGH,0.6
2025-01-01,SEC007,00:00,02:00,8,51.05,HIGH,0.66
2025-01-01,SEC007,02:00,04:00,3,48.65,MEDIUM,0.67
2025-01-01,SEC007,04:00,06:00,1,63.8,HIGH,0.84
2025-01-01,SEC007,06:00,08:00,2,46.05,MEDIUM,0.64
2025-01-01,SEC007,08:00,10:00,2,46.15,MEDIUM,0.88
2025-01-01,SEC007,10:00,12:00,1,38.24,MEDIUM,0.89
2025-01-01,SEC007,12:00,14:00,3,39.67,MEDIUM,0.79
2025-01-01,SEC007,14:00,16:00,0,30.86,MEDIUM,0.73
2025-01-01,SEC007,16:00,18:00,5,41.37,MEDIUM,0.66
2025-01-01,SEC007,18:00,20:00,2,42.31,MEDIUM,0.83
2025-01-01,SEC007,20:00,22:00,6,48.72,MEDIUM,0.65
2025-01-01,SEC007,22:00,00:00,5,56.01,HIGH,0.95
2025-01-01,SEC008,00:00,02:00,1,58.37,HIGH,0.62
2025-01-01,SEC008,02:00,04:00,2,56.7,HIGH,0.68
2025-01-01,SEC008,04:00,06:00,2,46.92,MEDIUM,0.92
2025-01-01,SEC008,06:00,08:00,2,39.4,MEDIUM,0.73
2025-01-01,SEC008,08:00,10:00,6,45.05,MEDIUM,0.93
2025-01-01,SEC008,10:00,12:00,4,37.94,MEDIUM,0.9
2025-01-01,SEC008,12:00,14:00,4,35.15,MEDIUM,0.64
2025-01-01,SEC008,14:00,16:00,2,28.57,MEDIUM,0.65
2025-01-01,SEC008,16:00,18:00,6,34.85,MEDIUM,0.6
2025-01-01,SEC008,18:00,20:00,2,41.96,MEDIUM,0.65
2025-01-01,SEC008,20:00,22:00,6,45.98,MEDIUM,0.63
2025-01-01,SEC008,22:00,00:00,6,59.9,HIGH,0.84
2025-01-01,SEC009,00:00,02:00,4,57.9,HIGH,0.72
2025-01-01,SEC009,02:00,04:00,3,45.06,MEDIUM,0.75
2025-01-01,SEC009,04:00,06:00,2,56.19,HIGH,0.82
2025-01-01,SEC009,06:00,08:00,2,35.51,MEDIUM,0.77
2025-01-01,SEC009,08:00,10:00,2,41.29,MEDIUM,0.95
2025-01-01,SEC009,10:00,12:00,5,35.02,MEDIUM,0.95
2025-01-01,SEC009,12:00,14:00,0,25.52,MEDIUM,0.93
2025-01-01,SEC009,14:00,16:00,4,27.87,MEDIUM,0.94
2025-01-01,SEC009,16:00,18:00,1,30.72,MEDIUM,0.7
2025-01-01,SEC009,18:00,20:00,1,34.62,MEDIUM,0.78
2025-01-01,SEC009,20:00,22:00,1,28.59,MEDIUM,0.61
2025-01-01,SEC009,22:00,00:00,7,47.65,MEDIUM,0.75
2025-01-01,SEC010,00:00,02:00,1,60.14,HIGH,0.74
2025-01-01,SEC010,02:00,04:00,5,51.61,HIGH,0.6
2025-01-01,SEC010,04:00,06:00,8,65.23,HIGH,0.73
2025-01-01,SEC010,06:00,08:00,5,36.59,MEDIUM,0.64
2025-01-01,SEC010,08:00,10:00,2,34.0,MEDIUM,0.87
2025-01-01,SEC010,10:00,12:00,1,31.17,MEDIUM,0.76
2025-01-01,SEC010,12:00,14:00,5,30.6,MEDIUM,0.64
2025-01-01,SEC010,14:00,16:00,3,28.71,MEDIUM,0.8
2025-01-01,SEC010,16:00,18:00,6,41.75,MEDIUM,0.96
2025-01-01,SEC010,18:00,20:00,0,34.77,MEDIUM,0.85
2025-01-01,SEC010,20:00,22:00,4,39.82,MEDIUM,0.81
2025-01-01,SEC010,22:00,00:00,7,49.43,MEDIUM,0.77
2025-01-01,SEC011,00:00,02:00,8,65.05,HIGH,0.94
2025-01-01,SEC011,02:00,04:00,6,56.61,HIGH,0.91
2025-01-01,SEC011,04:00,06:00,8,53.75,HIGH,0.62
2025-01-01,SEC011,06:00,08:00,0,45.59,MEDIUM,0.86
2025-01-01,SEC011,08:00,10:00,4,39.39,MEDIUM,0.83
2025-01-01,SEC011,10:00,12:00,0,29.36,MEDIUM,0.66
2025-01-01,SEC011,12:00,14:00,2,22.19,LOW,0.97
2025-01-01,SEC011,14:00,16:00,3,21.99,LOW,0.89
2025-01-01,SEC011,16:00,18:00,5,53.96,HIGH,0.92
2025-01-01,SEC011,18:00,20:00,5,46.6,MEDIUM,0.94
2025-01-01,SEC011,20:00,22:00,3,36.48,MEDIUM,0.95
2025-01-01,SEC011,22:00,00:00,2,56.57,HIGH,0.69
2025-01-01,SEC012,00:00,02:00,2,52.14,HIGH,0.81
2025-01-01,SEC012,02:00,04:00,4,49.45,MEDIUM,0.69
2025-01-01,SEC012,04:00,06:00,1,51.15,HIGH,0.96
2025-01-01,SEC012,06:00,08:00,1,40.41,MEDIUM,0.74
2025-01-01,SEC012,08:00,10:00,1,39.93,MEDIUM,0.95
2025-01-01,SEC012,10:00,12:00,0,21.37,LOW,0.96
2025-01-01,SEC012,12:00,14:00,1,33.67,MEDIUM,0.9
2025-01-01,SEC012,14:00,16:00,2,20.84,LOW,0.76
2025-01-01,SEC012,16:00,18:00,0,41.44,MEDIUM,0.95
2025-01-01,SEC012,18:00,20:00,2,29.07,MEDIUM,0.88
2025-01-01,SEC012,20:00,22:00,2,43.96,MEDIUM,0.68
2025-01-01,SEC012,22:00,00:00,4,39.45,MEDIUM,0.7
2025-01-01,SEC013,00:00,02:00,6,49.87,MEDIUM,0.67
2025-01-01,SEC013,02:00,04:00,5,50.65,HIGH,0.76
2025-01-01,SEC013,04:00,06:00,4,49.21,MEDIUM,0.98
2025-01-01,SEC013,06:00,08:00,0,54.23,HIGH,0.95
2025-01-01,SEC013,08:00,10:00,2,48.21,MEDIUM,0.89
2025-01-01,SEC013,10:00,12:00,2,21.98,LOW,0.71
2025-01-01,SEC013,12:00,14:00,3,38.58,MEDIUM,0.91
2025-01-01,SEC013,14:00,16:00,4,31.46,MEDIUM,0.77
2025-01-01,SEC013,16:00,18:00,4,47.51,MEDIUM,0.78
2025-01-01,SEC013,18:00,20:00,3,54.78,HIGH,0.85
2025-01-01,SEC013,20:00,22:00,2,50.5,HIGH,0.84
2025-01-01,SEC013,22:00,00:00,3,49.63,MEDIUM,0.89
2025-01-01,SEC014,00:00,02:00,4,54.29,HIGH,0.69
2025-01-01,SEC014,02:00,04:00,5,52.05,HIGH,0.66
2025-01-01,SEC014,04:00,06:00,6,60.13,HIGH,0.72
2025-01-01,SEC014,06:00,08:00,3,41.02,MEDIUM,0.88
2025-01-01,SEC014,08:00,10:00,2,36.1,MEDIUM,0.84
2025-01-01,SEC014,10:00,12:00,1,22.64,LOW,0.85
2025-01-01,SEC014,12:00,14:00,2,19.28,LOW,0.98
2025-01-01,SEC014,14:00,16:00,1,20.91,LOW,0.85
2025-01-01,SEC014,16:00,18:00,2,48.61,MEDIUM,0.79
2025-01-01,SEC014,18:00,20:00,5,41.82,MEDIUM,0.96
2025-01-01,SEC014,20:00,22:00,5,42.77,MEDIUM,0.69
2025-01-01,SEC014,22:00,00:00,3,62.37,HIGH,0.99
2025-01-01,SEC015,00:00,02:00,5,62.29,HIGH,0.76
2025-01-01,SEC015,02:00,04:00,4,56.75,HIGH,0.87
2025-01-01,SEC015,04:00,06:00,6,64.33,HIGH,0.81
2025-01-01,SEC015,06:00,08:00,3,39.32,MEDIUM,0.6
2025-01-01,SEC015,08:00,10:00,5,46.73,MEDIUM,0.75
2025-01-01,SEC015,10:00,12:00,3,19.96,LOW,0.82
2025-01-01,SEC015,12:00,14:00,5,25.63,MEDIUM,0.7
2025-01-01,SEC015,14:00,16:00,1,39.07,MEDIUM,0.69
2025-01-01,SEC015,16:00,18:00,1,37.88,MEDIUM,0.64
2025-01-01,SEC015,18:00,20:00,5,43.98,MEDIUM,0.83
2025-01-01,SEC015,20:00,22:00,3,48.18,MEDIUM,0.74
2025-01-01,SEC015,22:00,00:00,4,45.5,MEDIUM,0.67
2025-01-01,SEC016,00:00,02:00,4,56.45,HIGH,0.64
2025-01-01,SEC016,02:00,04:00,5,41.96,MEDIUM,0.94
2025-01-01,SEC016,04:00,06:00,3,44.69,MEDIUM,0.64
2025-01-01,SEC016,06:00,08:00,6,45.21,MEDIUM,0.76
2025-01-01,SEC016,08:00,10:00,7,33.65,MEDIUM,0.89
2025-01-01,SEC016,10:00,12:00,2,35.93,MEDIUM,0.95
2025-01-01,SEC016,12:00,14:00,4,20.37,LOW,0.71
2025-01-01,SEC016,14:00,16:00,0,31.19,MEDIUM,0.82
2025-01-01,SEC016,16:00,18:00,2,37.71,MEDIUM,0.9
2025-01-01,SEC016,18:00,20:00,4,39.02,MEDIUM,0.74
2025-01-01,SEC016,20:00,22:00,3,37.43,MEDIUM,0.67
2025-01-01,SEC016,22:00,00:00,2,61.01,HIGH,0.97
2025-01-01,SEC017,00:00,02:00,5,46.72,MEDIUM,0.88
2025-01-01,SEC017,02:00,04:00,0,37.37,MEDIUM,0.62
2025-01-01,SEC017,04:00,06:00,3,34.84,MEDIUM,0.64
