task_id,asset_id,section_id,asset_type,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,power_block_required
TRC0001,AST0479,SEC029,Electrical switchgear,Feeder Repair,Joint failure,2,HIGH,2025-08-02,2025-08-04,2025-08-14,11.4,9,HIGH,Pending,False
TRC0002,AST0431,SEC056,Electrical switchgear,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-01-18,2025-01-21,2025-02-14,6.4,8,MEDIUM,Scheduled,False
TRC0003,AST0502,SEC052,Sectioning equipment,Feeder Repair,Cable damage,3,MEDIUM,2025-01-14,2025-01-17,2025-02-10,4.8,15,MEDIUM,Scheduled,True
TRC0004,AST0443,SEC068,Catenary,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-08-23,2025-08-23,2025-09-07,1.5,3,MEDIUM,Completed,True
TRC0005,AST0441,SEC066,Pantograph interface,Insulator Replacement,Pollution deposit,1,CRITICAL,2025-07-02,2025-07-03,2025-07-09,11.5,6,HIGH,Scheduled,False
TRC0006,AST0524,SEC074,Transformer,Sectioning Post Maintenance,Isolator defect,2,HIGH,2025-08-05,2025-08-06,2025-08-16,6.2,3,HIGH,Completed,True
TRC0007,AST0509,SEC059,Feeder,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-11-17,2025-11-17,2025-12-14,5.8,13,MEDIUM,Completed,True
TRC0008,AST0440,SEC065,OHE,Feeder Repair,Cable damage,4,LOW,2025-12-09,2025-12-10,2026-01-18,9.1,13,LOW,Pending,True
TRC0009,AST0593,SEC068,Pantograph interface,OHE Inspection,Height deviation,3,MEDIUM,2025-09-03,2025-09-05,2025-10-03,7.0,14,MEDIUM,Pending,True
TRC0010,AST0570,SEC045,Insulator,Insulator Replacement,Cracked insulator,3,MEDIUM,2025-01-01,2025-01-04,2025-02-01,3.5,7,MEDIUM,Cancelled,False
TRC0011,AST0489,SEC039,Pantograph interface,Sectioning Post Maintenance,Interrupter fault,4,LOW,2025-09-12,2025-09-13,2025-11-12,6.3,5,LOW,Pending,True
TRC0012,AST0616,SEC016,OHE,Switchgear Maintenance,Relay malfunction,3,MEDIUM,2025-08-28,2025-08-30,2025-09-29,6.6,14,MEDIUM,In Progress,True
TRC0013,AST0599,SEC074,Electrical switchgear,OHE Mast Repair,Bracket damage,3,MEDIUM,2025-02-17,2025-02-18,2025-03-18,5.8,2,MEDIUM,Completed,True
TRC0014,AST0549,SEC024,Feeder,Switchgear Maintenance,Relay malfunction,3,MEDIUM,2025-08-11,2025-08-12,2025-09-03,8.7,3,MEDIUM,Completed,True
TRC0015,AST0658,SEC058,Insulator,Transformer Servicing,Winding fault,3,MEDIUM,2025-06-12,2025-06-12,2025-07-05,1.5,11,MEDIUM,Pending,True
TRC0016,AST0594,SEC069,Insulator,Catenary Maintenance,Catenary sag,4,LOW,2025-05-21,2025-05-21,2025-07-14,5.5,9,LOW,Cancelled,False
TRC0017,AST0639,SEC039,Electrical switchgear,Catenary Maintenance,Splice joint fault,1,CRITICAL,2025-01-12,2025-01-12,2025-01-18,2.5,8,HIGH,Pending,True
TRC0018,AST0495,SEC045,Electrical switchgear,Feeder Repair,Overheating,3,MEDIUM,2025-06-25,2025-06-28,2025-07-17,4.9,15,MEDIUM,Completed,True
TRC0019,AST0625,SEC025,Pantograph interface,Transformer Servicing,Bushing defect,1,CRITICAL,2025-11-15,2025-11-15,2025-11-21,4.4,14,HIGH,Pending,True
TRC0020,AST0491,SEC041,Catenary,OHE Inspection,Dropper defect,4,LOW,2025-01-02,2025-01-04,2025-03-05,8.9,4,LOW,Completed,True
TRC0021,AST0531,SEC006,Catenary,Switchgear Maintenance,Arc damage,3,MEDIUM,2025-02-07,2025-02-09,2025-03-11,5.4,10,MEDIUM,Cancelled,True
TRC0022,AST0662,SEC062,Sectioning equipment,OHE Inspection,Height deviation,3,MEDIUM,2025-12-18,2025-12-21,2026-01-17,11.8,3,MEDIUM,Cancelled,True
TRC0023,AST0633,SEC033,Pantograph interface,OHE Mast Repair,Foundation settlement,5,LOW,2025-03-19,2025-03-22,2025-05-16,10.0,4,LOW,Pending,False
TRC0024,AST0419,SEC044,Catenary,Transformer Servicing,Cooling system failure,3,MEDIUM,2025-04-17,2025-04-20,2025-05-13,2.7,2,MEDIUM,Pending,True
TRC0025,AST0470,SEC020,Sectioning equipment,Sectioning Post Maintenance,Isolator defect,2,HIGH,2025-08-24,2025-08-26,2025-09-10,4.6,2,HIGH,Pending,True
TRC0026,AST0638,SEC038,Sectioning equipment,OHE Inspection,Dropper defect,5,LOW,2025-07-28,2025-07-31,2025-09-23,11.0,15,LOW,Scheduled,True
TRC0027,AST0668,SEC068,Transformer,OHE Mast Repair,Bracket damage,4,LOW,2025-09-13,2025-09-16,2025-11-04,12.0,13,LOW,Completed,False
TRC0028,AST0659,SEC059,Catenary,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-11-24,2025-11-24,2025-12-22,9.5,6,MEDIUM,Pending,True
TRC0029,AST0655,SEC055,Electrical switchgear,Sectioning Post Maintenance,Jumper damage,2,HIGH,2025-02-21,2025-02-24,2025-03-06,1.4,14,HIGH,Cancelled,True
TRC0030,AST0497,SEC047,Pantograph interface,Catenary Maintenance,Splice joint fault,2,HIGH,2025-01-13,2025-01-13,2025-01-24,8.0,5,HIGH,Completed,True
TRC0031,AST0571,SEC046,Catenary,Switchgear Maintenance,Relay malfunction,4,LOW,2025-01-22,2025-01-25,2025-02-24,3.4,7,LOW,Scheduled,True
TRC0032,AST0438,SEC063,Sectioning equipment,Catenary Maintenance,Tension deviation,4,LOW,2025-12-07,2025-12-07,2026-01-31,7.2,10,LOW,Completed,True
TRC0033,AST0476,SEC026,Transformer,OHE Mast Repair,Corrosion,2,HIGH,2025-02-12,2025-02-14,2025-02-24,6.5,12,HIGH,Completed,True
TRC0034,AST0550,SEC025,Sectioning equipment,Sectioning Post Maintenance,Earthing issue,2,HIGH,2025-05-12,2025-05-14,2025-05-28,11.2,5,HIGH,Scheduled,True
TRC0035,AST0591,SEC066,Electrical switchgear,Catenary Maintenance,Registration arm damage,3,MEDIUM,2025-02-24,2025-02-24,2025-03-16,6.7,2,MEDIUM,Completed,True
TRC0036,AST0634,SEC034,Insulator,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-05-07,2025-05-07,2025-06-04,2.6,4,MEDIUM,Completed,False
TRC0037,AST0639,SEC039,Electrical switchgear,Sectioning Post Maintenance,Earthing issue,3,MEDIUM,2025-07-04,2025-07-06,2025-07-22,2.8,5,MEDIUM,Completed,False
TRC0038,AST0551,SEC026,Electrical switchgear,Transformer Servicing,Cooling system failure,3,MEDIUM,2025-08-11,2025-08-11,2025-09-03,6.8,12,MEDIUM,Scheduled,True
TRC0039,AST0420,SEC045,Transformer,OHE Mast Repair,Corrosion,5,LOW,2025-07-20,2025-07-23,2025-09-28,1.2,3,LOW,Completed,False
TRC0040,AST0495,SEC045,Electrical switchgear,OHE Mast Repair,Bracket damage,4,LOW,2025-04-02,2025-04-05,2025-05-29,2.4,3,LOW,Completed,False
TRC0041,AST0487,SEC037,Electrical switchgear,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-09-02,2025-09-05,2025-09-28,4.2,13,MEDIUM,Pending,True
TRC0042,AST0688,SEC013,OHE,Insulator Replacement,Pollution deposit,5,LOW,2025-10-11,2025-10-12,2025-12-05,1.5,2,LOW,Completed,True
TRC0043,AST0689,SEC014,Pantograph interface,Catenary Maintenance,Catenary sag,3,MEDIUM,2025-11-10,2025-11-10,2025-11-30,8.2,12,MEDIUM,Pending,False
TRC0044,AST0680,SEC005,OHE,Insulator Replacement,Mechanical failure,2,HIGH,2025-08-02,2025-08-05,2025-08-16,2.4,4,HIGH,Cancelled,False
TRC0045,AST0412,SEC037,Transformer,Feeder Repair,Overheating,3,MEDIUM,2025-01-15,2025-01-17,2025-02-09,2.9,4,MEDIUM,Scheduled,True
TRC0046,AST0652,SEC052,Transformer,Feeder Repair,Insulation breakdown,2,HIGH,2025-01-13,2025-01-14,2025-01-28,4.5,7,HIGH,Completed,True
TRC0047,AST0455,SEC005,Electrical switchgear,Feeder Repair,Cable damage,4,LOW,2025-06-02,2025-06-04,2025-07-12,9.2,9,LOW,Scheduled,False
TRC0048,AST0621,SEC021,Feeder,Feeder Repair,Insulation breakdown,2,HIGH,2025-10-10,2025-10-11,2025-10-18,9.3,13,HIGH,In Progress,True
TRC0049,AST0422,SEC047,Sectioning equipment,Feeder Repair,Overheating,1,CRITICAL,2025-12-17,2025-12-18,2025-12-23,8.9,3,HIGH,Completed,True
TRC0050,AST0475,SEC025,Catenary,Switchgear Maintenance,Contactor wear,4,LOW,2025-08-09,2025-08-09,2025-09-07,1.9,12,LOW,Pending,True
TRC0051,AST0656,SEC056,OHE,OHE Mast Repair,Bracket damage,4,LOW,2025-12-14,2025-12-14,2026-01-27,8.3,8,LOW,Pending,True
TRC0052,AST0620,SEC020,Transformer,OHE Mast Repair,Guy wire slack,5,LOW,2025-02-21,2025-02-23,2025-05-15,1.9,7,LOW,Pending,False
TRC0053,AST0437,SEC062,Feeder,Insulator Replacement,Cracked insulator,3,MEDIUM,2025-03-04,2025-03-06,2025-04-03,5.7,10,MEDIUM,Scheduled,True
TRC0054,AST0640,SEC040,OHE,Switchgear Maintenance,Contactor wear,5,LOW,2025-09-16,2025-09-18,2025-11-15,2.3,5,LOW,Completed,True
TRC0055,AST0425,SEC050,Pantograph interface,Switchgear Maintenance,Arc damage,4,LOW,2025-12-08,2025-12-11,2026-01-26,5.7,10,LOW,Completed,False
TRC0056,AST0516,SEC066,Transformer,Catenary Maintenance,Catenary sag,2,HIGH,2025-08-01,2025-08-03,2025-08-16,7.1,15,HIGH,Scheduled,False
TRC0057,AST0486,SEC036,Sectioning equipment,OHE Mast Repair,Guy wire slack,1,CRITICAL,2025-01-22,2025-01-25,2025-01-30,1.4,9,HIGH,Completed,True
TRC0058,AST0480,SEC030,OHE,Insulator Replacement,Cracked insulator,5,LOW,2025-10-25,2025-10-26,2025-12-07,1.1,3,LOW,Pending,True
TRC0059,AST0643,SEC043,Catenary,Insulator Replacement,Mechanical failure,2,HIGH,2025-07-19,2025-07-20,2025-07-28,5.7,15,HIGH,Scheduled,True
TRC0060,AST0638,SEC038,Sectioning equipment,Catenary Maintenance,Tension deviation,1,CRITICAL,2025-10-12,2025-10-13,2025-10-17,4.9,13,HIGH,Pending,True
TRC0061,AST0619,SEC019,Catenary,OHE Mast Repair,Bracket damage,2,HIGH,2025-05-11,2025-05-12,2025-05-22,10.3,4,HIGH,Scheduled,True
TRC0062,AST0623,SEC023,Electrical switchgear,Switchgear Maintenance,Contactor wear,3,MEDIUM,2025-01-13,2025-01-15,2025-02-05,5.1,12,MEDIUM,In Progress,False
TRC0063,AST0517,SEC067,Feeder,Switchgear Maintenance,Circuit breaker fault,5,LOW,2025-05-09,2025-05-11,2025-07-25,10.7,7,LOW,Cancelled,True
TRC0064,AST0556,SEC031,Transformer,Transformer Servicing,Cooling system failure,4,LOW,2025-10-30,2025-10-30,2025-11-29,4.9,12,LOW,In Progress,False
TRC0065,AST0526,SEC001,Sectioning equipment,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-03-22,2025-03-25,2025-04-10,1.7,6,MEDIUM,Pending,True
TRC0066,AST0453,SEC003,Feeder,Transformer Servicing,Oil leak,1,CRITICAL,2025-05-24,2025-05-24,2025-05-29,11.6,13,HIGH,Scheduled,True
TRC0067,AST0465,SEC015,Pantograph interface,Catenary Maintenance,Splice joint fault,4,LOW,2025-10-15,2025-10-17,2025-12-01,1.8,14,LOW,Pending,True
TRC0068,AST0655,SEC055,Electrical switchgear,Catenary Maintenance,Catenary sag,2,HIGH,2025-04-29,2025-04-29,2025-05-14,10.5,14,HIGH,Completed,True
TRC0069,AST0605,SEC005,Feeder,Insulator Replacement,Mechanical failure,2,HIGH,2025-10-05,2025-10-08,2025-10-17,3.9,5,HIGH,Pending,True
TRC0070,AST0697,SEC022,Pantograph interface,OHE Inspection,Contact wire wear,3,MEDIUM,2025-12-03,2025-12-06,2025-12-22,11.6,7,MEDIUM,Scheduled,False
TRC0071,AST0534,SEC009,Sectioning equipment,OHE Inspection,Contact wire wear,5,LOW,2025-01-03,2025-01-04,2025-02-19,10.9,13,LOW,Completed,True
TRC0072,AST0472,SEC022,OHE,OHE Mast Repair,Guy wire slack,3,MEDIUM,2025-07-02,2025-07-05,2025-07-26,7.2,8,MEDIUM,Completed,True
TRC0073,AST0438,SEC063,Sectioning equipment,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-10-18,2025-10-20,2025-11-23,3.4,15,LOW,Completed,True
TRC0074,AST0485,SEC035,Feeder,Sectioning Post Maintenance,Jumper damage,4,LOW,2025-07-11,2025-07-11,2025-08-11,10.2,6,LOW,Completed,True
TRC0075,AST0420,SEC045,Transformer,Catenary Maintenance,Catenary sag,3,MEDIUM,2025-02-19,2025-02-22,2025-03-23,4.7,9,MEDIUM,Scheduled,True
TRC0076,AST0457,SEC007,Pantograph interface,Insulator Replacement,Cracked insulator,5,LOW,2025-03-04,2025-03-07,2025-05-10,10.6,6,LOW,In Progress,False
TRC0077,AST0433,SEC058,Pantograph interface,Transformer Servicing,Cooling system failure,3,MEDIUM,2025-12-19,2025-12-21,2026-01-12,9.0,3,MEDIUM,Pending,True
TRC0078,AST0633,SEC033,Pantograph interface,Transformer Servicing,Bushing defect,3,MEDIUM,2025-04-24,2025-04-25,2025-05-24,9.3,9,MEDIUM,Completed,True
TRC0079,AST0559,SEC034,Electrical switchgear,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-01-02,2025-01-02,2025-01-19,9.5,14,MEDIUM,Completed,True
TRC0080,AST0684,SEC009,Transformer,OHE Mast Repair,Foundation settlement,4,LOW,2025-10-17,2025-10-17,2025-11-18,6.4,11,LOW,Cancelled,True
